Name    Long     Lat       Ve    Se    Vn    Sn     Vz   Sz  
1293 199.49744 55.33200 -7.380 1.310 3.900 1.000 -4.520 2.600
3502 199.42175 55.98659 -8.850 0.520 0.800 0.570 -4.750 0.640
891G 201.59600 56.29512 -7.170 1.990 8.630 1.640 0.640 4.630
9016 201.18123 55.88859 -11.370 0.550 8.190 0.570 -3.720 0.890
9450 199.49963 55.33114 -7.960 0.440 3.050 0.530 -1.970 0.310
9758 198.20791 55.11905 -6.250 0.500 0.660 0.550 -0.240 0.560
AHKI 205.82539 56.94108 -14.980 0.510 18.030 0.570 2.880 0.730
ALIK 199.22671 55.45543 -8.020 0.450 1.340 0.540 -0.530 0.330
AND2 199.91324 55.32339 -8.180 0.460 4.210 0.540 -0.560 0.320
ASPE 202.62795 56.85380 -11.000 0.440 5.830 0.530 0.440 0.300
BIRD 200.25709 54.82921 -8.770 0.450 6.810 0.530 -3.830 0.290
CENT 200.06897 55.78855 -8.650 0.460 3.440 0.540 -1.090 0.350
CHIR 204.27150 55.82588 -17.880 0.660 32.390 0.650 -9.160 1.020
CHN1_CHNB 200.41733 54.81466 -9.070 0.440 7.770 0.530 -3.550 0.300
CHRN 197.63069 54.62904 -2.720 1.560 -1.570 1.270 -1.410 2.680
CLFF 201.70080 56.21148 -10.120 0.440 7.320 0.530 -0.060 0.310
CONG 200.50347 56.22066 -13.760 2.090 3.590 1.610 9.020 4.410
CROW 197.19898 54.49083 -3.230 0.530 -2.210 0.570 2.760 0.570
DAY 197.52907 54.73546 -5.890 1.200 0.280 0.960 -3.890 1.870
EC44 200.63157 56.03191 -4.480 0.650 2.180 0.630 -1.100 1.040
FAWN 197.64481 54.82458 -1.400 2.780 -0.740 2.020 -0.980 4.630
FING 200.79154 56.19125 -4.020 0.860 2.390 0.740 4.250 1.570
FOG 200.45915 56.31583 -10.780 0.770 2.850 0.720 0.470 1.390
FOUR 199.27164 55.30900 -8.190 0.450 2.660 0.530 0.010 0.270
HARP 200.73711 56.23664 -3.400 0.870 4.580 0.760 8.260 1.660
HEID 201.38766 56.96388 -7.740 0.450 1.220 0.540 -0.580 0.330
HUEY 203.14463 56.79436 -12.070 0.440 8.850 0.530 -0.150 0.310
INSU 200.44942 55.17962 -9.670 0.440 6.540 0.530 -0.470 0.240
ISLK 201.39968 56.11342 -10.670 0.480 6.750 0.550 0.010 0.510
JIMM 201.38255 56.91688 -8.180 0.530 1.940 0.580 -0.750 0.690
