Name   Long      Lat     Ve      Vn    Se    Sn   Rho
BAY1 197.29284 55.19027 -5.400 -2.430 0.450 0.540 0.000
BAY2 197.29324 55.19042 -5.620 -2.350 0.460 0.540 0.000
AB06 196.57655 54.88532 -4.060 -1.530 0.470 0.550 0.000
BAY5 197.29284 55.19027 -5.320 -1.620 0.450 0.540 0.000
CHRN 197.63069 54.62904 -2.720 -1.570 1.560 1.270 0.000
CROW 197.19898 54.49083 -3.230 -2.210 0.530 0.570 0.000
FAWN 197.64481 54.82458 -1.400 -0.740 2.780 2.020 0.000
PETE 197.38103 54.38387 -3.76 -2.7 0.45 0.54 0.000
REEF 197.47702 54.85738 -2.750 1.750 2.150 1.630 0.000
TELE 197.39532 54.98441 -1.530 -0.830 1.500 1.210 0.000
9758 198.20791 55.11905 -6.250 0.660 0.500 0.550 0.000
DAY 197.52907 54.73546 -5.890 0.280 1.200 0.960 0.000
KATY 196.47618 55.04427 -3.330 -2.240 0.730 0.6900 0.000
LAG 197.70320 54.66411 -3.230 -0.430 2.100 1.580 0.000
LONE 198.00396 54.75572 -5.350 -2.640 1.680 1.290 0.000
PANK 196.88680 54.67909 -4.360 -2.380 0.770 0.710 0.000
PV02 198.19509 55.40581 -7.080 0.210 0.670 0.650 0.000
SATT 197.26802 55.17378 -1.910 -1.110 0.900 0.820 0.000
TOMH 196.67717 54.74136 -2.930 -0.930 1.500 1.230 0.000
AC25 197.68595 55.08897 -5.870 -1.470 0.450 0.540 0.000
AC42 197.21635 54.47178 -4.470 -2.150 0.450 0.540 0.000
AV34 196.28708 54.72491 -4.630 -2.530 0.490 0.570 0.000
AV40 196.25703 54.64454 -5.020 -2.120 0.550 0.610 0.000
BAY6 197.29324 55.19042 -5.040 -1.350 0.450 0.540 0.000
CDB7 197.28153 55.20034 -4.970 -2.090 0.490 0.570 0.000
CDB8 197.29360 55.19237 -4.020 -0.060 0.560 0.630 0.000
ACHU 185.75300 52.17912 -4.210 -2.440 0.750 0.690 0.000
AKUN 194.40666 54.21068 -4.640 -2.090 0.580 0.580 0.000
ATKA 185.79333 52.21846 -2.460 -3.220 0.650 0.660 0.000
DCH1 193.47240 53.88867 -3.940 -2.470 0.460 0.540 0.000
DEC2 185.83073 52.23135 -3.400 -2.950 0.720 0.620 0.000
DHFA 193.45150 53.90465 -4.120 -2.350 0.700 0.640 0.000
DT16 193.46879 53.87398 -6.040 -2.610 0.910 0.770 0.000
DT19 193.46719 53.87446 -4.780 -2.540 0.820 0.740 0.000
DTOC 193.46364 53.87596 -0.020 -5.020 5.200 3.150 0.000
GUNN 193.48362 53.92385 -4.080 -2.510 0.500 0.550 0.000
ILIU 193.51511 53.85243 -3.940 -2.650 0.500 0.550 0.000
PUPA 185.76394 52.19952 -5.240 -2.170 0.780 0.700 0.000
ROTK 194.47919 54.06372 -4.740 -2.600 0.830 0.680 0.000
SBS2 193.48473 53.89742 -3.960 -2.580 0.530 0.580 0.000
WNDA 185.71100 52.16110 -4.020 -1.820 0.740 0.680 0.000
AB01 185.79524 52.20951 -6.770 -0.410 0.510 0.550 0.000
AV09 193.45817 53.87564 -5.130 -2.300 0.460 0.540 0.000
DUTC 193.45152 53.90501 -3.920 -0.870 0.570 0.620 0.000
MREP 193.25166 53.80960 -4.350 -1.950 0.510 0.580 0.000
MSWB 193.21212 53.91469 -5.090 -1.620 0.530 0.590 0.000
MHAA_MAPS 193.05955 53.80810 -4.960 -1.740 0.480 0.550 0.000
